text,source
"Kushdo që duron dhe fal, ta dijë se, në të vërtetë, këto janë nga veprimet më të virtytshme.",Shura - Ajeti 43
"Më ka bërë të mirësjellshëm ndaj nënës sime, e nuk më ka bërë kryelartë dhe as të palumtur.",Merjem: 32
"E kush beson në Allah dhe bën vepra të mira, Ai do t'i fusë në kopshte nëpër të cilat rrjedhin lumenj, ku do të qëndrojnë përgjithmonë.",Nisa: 57
"Dhe kush i frikësohet Allahut, Ai do t'i bëjë një rrugëdalje dhe do ta furnizojë nga aty ku nuk e pret.",Talak: 2-3
"O ju që besoni! Kërkoni ndihmë me durim dhe me namaz. Vërtet, Allahu është me të durueshmit.",Bekare: 153
"Dhe kush shpëton një jetë, është sikur të ketë shpëtuar gjithë njerëzimin.",Maide: 32
"Allahu nuk e ngarkon asnjë shpirt përtej mundësive të tij.",Bekare: 286
"Dhe kush mbështetet tek Allahu, atij Ai i mjafton. Vërtet, Allahu e realizon çështjen e Tij.",Talak: 3
"Dhe jepni lajmin e mirë të durueshmëve, të cilët kur i godet ndonjë fatkeqësi, thonë: 'Ne jemi të Allahut dhe tek Ai do të kthehemi'.",Bekare: 155-156
"Dhe mos humbni shpresën nga mëshira e Allahut. Vërtet, nga mëshira e Allahut nuk humbin shpresën, përveç popullit jobesimtar.",Jusuf: 87
"Dhe Ai është me ju kudo që të jeni. Dhe Allahu sheh mirë atë që bëni.",Hadid: 4
"Vërtet, pas vështirësisë vjen lehtësimi.",Inshirah: 6
"Dhe kush ka besim tek Allahu, Ai do ta udhëzojë zemrën e tij.",Tegabun: 11
"Dhe kush bën një vepër të mirë, mashkull apo femër, duke qenë besimtar, Ne do ta bëjmë të jetojë një jetë të mirë.",Nahl: 97
"Dhe thuaj: Zoti im, shtoma në dije!",Taha: 114
